Voltage,constant Z Load,constant Z Load - real power P,constant I Load,constant I Load - real power P,constant P Load,constant P Load - real power P
0.8392392392392393,(0.9090909090909092-0.09090909090909093j),(1408.6450013577141+0j),(1.0832321304649548-0.10832321304649548j),(1678.4784784784786+0j),(1.2907310333188093-0.12907310333188096j),(2000+0j)
0.83993993993994,(0.9090909090909091-0.0909090909090909j),(1410.99820541262+0j),(1.0823284688139891-0.10823284688139892j),(1679.87987987988+0j),(1.2885784058457572-0.12885784058457572j),(2000+0j)
0.8406406406406407,(0.9090909090909091-0.09090909090909091j),(1413.3533733934137+0j),(1.0814263136244562-0.1081426313624456j),(1681.2812812812815+0j),(1.286431158979318-0.1286431158979318j),(2000+0j)
0.8413413413413414,(0.9090909090909091-0.09090909090909094j),(1415.710505300095+0j),(1.0805256611324427-0.10805256611324426j),(1682.6826826826828+0j),(1.2842892748022725-0.12842892748022725j),(2000+0j)
0.842042042042042,(0.9090909090909088-0.09090909090909087j),(1418.069601132664+0j),(1.0796265075865648-0.10796265075865646j),(1684.084084084084+0j),(1.2821527354719187-0.12821527354719187j),(2000+0j)
0.8427427427427427,(0.9090909090909091-0.09090909090909091j),(1420.4306608911215+0j),(1.0787288492479132-0.10787288492479134j),(1685.4854854854855+0j),(1.2800215232196999-0.12800215232197001j),(2000+0j)
0.8434434434434435,(0.9090909090909092-0.09090909090909091j),(1422.7936845754666+0j),(1.0778326823900048-0.10778326823900049j),(1686.886886886887+0j),(1.2778956203508365-0.12778956203508365j),(2000+0j)
0.8441441441441442,(0.9090909090909092-0.09090909090909091j),(1425.1586721856993+0j),(1.076938003298729-0.10769380032987287j),(1688.2882882882884+0j),(1.2757750092439586-0.12757750092439585j),(2000+0j)
0.8448448448448449,(0.9090909090909091-0.0909090909090909j),(1427.52562372182+0j),(1.0760448082722964-0.10760448082722963j),(1689.6896896896899+0j),(1.2736596723507392-0.1273659672350739j),(2000+0j)
0.8455455455455456,(0.9090909090909092-0.09090909090909094j),(1429.8945391838288+0j),(1.0751530936211888-0.10751530936211888j),(1691.0910910910911+0j),(1.2715495921955338-0.1271549592195534j),(2000+0j)
