t,Bus 0: voltage magnitude,Bus 1: voltage magnitude,Bus 2: voltage magnitude,Transformer $u_\mathrm{l}$
66.495,1.0475288798954538,1.0464444823967975,0.9024621216396437,1.1600000000000001
66.5,1.047519557770453,1.0464336624561699,0.9024508604370198,1.1600000000000001
66.505,1.0475102347075196,1.046422841954393,0.9024395993139306,1.1600000000000001
66.51,1.0475009107084163,1.0464120208918846,0.9024283382695922,1.1600000000000001
66.515,1.0474915857752225,1.04640119926966,0.9024170773039849,1.1600000000000001
66.52,1.0474822599103315,1.0463903770893297,0.9024058164178446,1.1600000000000001
66.525,1.0474729331164454,1.046379554353091,0.9023945556126558,1.1600000000000001
66.53,1.0474636053965716,1.0463687310637197,0.9023832948906416,1.1600000000000001
66.535,1.0474542767540171,1.046357907224565,0.9023720342547532,1.1600000000000001
66.54,1.0474449471923828,1.046347082839537,0.9023607737086573,1.1600000000000001
66.545,1.0474356167155559,1.0463362579130944,0.9023495132567207,1.1600000000000001
66.55,1.047426285327708,1.0463254324502376,0.9023382529039983,1.1600000000000001
66.555,1.04741695303328,1.0463146064564905,0.9023269926562119,1.1600000000000001
66.56,1.0474076198369806,1.0463037799378907,0.9023157325197375,1.1600000000000001
66.565,1.047398285743774,1.0462929529009697,0.9023044725015812,1.1600000000000001
66.57000000000001,1.0473889507588725,1.0462821253527412,0.902293212609362,1.1600000000000001
66.575,1.0473796148877275,1.0462712973006822,0.9022819528512891,1.1600000000000001
66.58,1.0473702781360181,1.046260468752716,0.9022706932361394,1.1600000000000001
66.58500000000001,1.0473609405096422,1.0462496397171936,0.9022594337732346,1.1600000000000001
66.59,1.047351602014706,1.0462388102028748,0.9022481744724156,1.1600000000000001
66.595,1.0473422626575102,1.0462279802189056,0.9022369153440185,1.1600000000000001
66.6,1.047332922444544,1.0462171497748034,0.9022256563988472,1.1600000000000001
66.605,1.0473235813824686,1.04620631888043,0.9022143976481469,1.1600000000000001
66.61,1.0473142394781076,1.0461954875459727,0.9022031391035766,1.1600000000000001
66.615,1.0473048967384349,1.046184655781922,0.9021918807771803,1.1600000000000001
66.62,1.0472955531705614,1.0461738235990488,0.9021806226813597,1.1600000000000001
66.625,1.0472862087817236,1.0461629910083803,0.9021693648288422,1.1600000000000001
66.63,1.0472768635792709,1.0461521580211788,0.9021581072326541,1.1600000000000001
66.635,1.0472675175706516,1.0461413246489164,0.902146849906089,1.1600000000000001
66.64,1.0472581707634019,1.0461304909032518,0.9021355928626771,1.1600000000000001
66.645,1.0472488231651307,1.0461196567960052,0.9021243361161553,1.1600000000000001
66.65,1.0472394747835094,1.046108822339136,0.9021130796804371,1.1600000000000001
66.655,1.0472301256262568,1.046097987544718,0.9021018235695808,1.1600000000000001
66.66,1.0472207757011274,1.046087152424915,0.9020905677977588,1.1600000000000001
66.665,1.047211425015897,1.0460763169919554,0.902079312379228,1.1600000000000001
66.67,1.0472020735783525,1.0460654812581103,0.9020680573282976,1.1600000000000001
66.675,1.047192721396276,1.046054645235669,0.9020568026592999,1.1600000000000001
66.68,1.0471833684774345,1.0460438089369137,0.9020455483865598,1.1600000000000001
66.685,1.0471740148295672,1.0460329723740989,0.9020342945243648,1.1600000000000001
66.69,1.047164660460372,1.0460221355594248,0.9020230410869357,1.1600000000000001
66.69500000000001,1.047155305377495,1.0460112985050185,0.9020117880883978,1.1600000000000001
66.7,1.0471459495885178,1.046000461222907,0.902000535542752,1.1600000000000001
66.705,1.047136593100947,1.0459896237250008,0.9019892834638478,1.1600000000000001
66.71000000000001,1.0471272359222001,1.0459787860230654,0.901978031865354,1.1600000000000001
66.715,1.0471178780595984,1.0459679481287063,0.9019667807607336,1.1600000000000001
66.72,1.0471085195203538,1.0459571100533467,0.9019555301632185,1.1600000000000001
66.725,1.0470991603115591,1.0459462718082069,0.9019442800857822,1.1600000000000001
66.73,1.047089800440178,1.0459354334042843,0.901933030541117,1.1600000000000001
66.735,1.0470804399130362,1.0459245948523381,0.9019217815416095,1.1600000000000001
66.74,1.0470710787368103,1.045913756162868,0.9019105330993188,1.1600000000000001
66.745,1.0470617169180212,1.0459029173460985,0.9018992852259543,1.1600000000000001
66.75,1.0470523544630252,1.0458920784119643,0.9018880379328558,1.1600000000000001
66.755,1.0470429913780046,1.0458812393700911,0.9018767912309715,1.1600000000000001
66.76,1.0470336276689622,1.045870400229785,0.9018655451308427,1.1600000000000001
66.765,1.0470242633417124,1.0458595610000143,0.901854299642583,1.1600000000000001
66.77,1.0470148984018777,1.0458487216894001,0.9018430547758639,1.1600000000000001
66.775,1.0470055328548769,1.045837882306202,0.9018318105398986,1.1600000000000001
66.78,1.0469961667059269,1.0458270428583085,0.9018205669434278,1.1600000000000001
66.785,1.0469867999600315,1.0458162033532254,0.901809323994707,1.1600000000000001
66.79,1.0469774326219803,1.0458053637980662,0.901798081701494,1.1600000000000001
66.795,1.046968064696344,1.0457945241995459,0.9017868400710386,1.1600000000000001
66.8,1.0469586961874675,1.0457836845639696,0.9017755991100733,1.1600000000000001
66.805,1.046949327099474,1.0457728448972308,0.901764358824805,1.1600000000000001
66.81,1.0469399574362546,1.0457620052048013,0.901753119220907,1.1600000000000001
66.815,1.0469305872014716,1.0457511654917293,0.9017418803035143,1.1600000000000001
66.82000000000001,1.0469212163985546,1.0457403257626354,0.9017306420772191,1.1600000000000001
66.825,1.0469118450307004,1.0457294860217086,0.9017194045460659,1.1600000000000001
66.83,1.0469024731008723,1.0457186462727062,0.901708167713552,1.1600000000000001
66.83500000000001,1.0468931006117999,1.0457078065189511,0.9016969315826234,1.1600000000000001
66.84,1.04688372756598,1.0456969667633353,0.9016856961556774,1.1600000000000001
66.845,1.0468743539656773,1.045686127008317,0.9016744614345632,1.1600000000000001
66.85,1.0468649798129261,1.0456752872559247,0.9016632274205847,1.1600000000000001
66.855,1.0468556051095321,1.0456644475077597,0.9016519941145028,1.1600000000000001
66.86,1.0468462298570738,1.0456536077650005,0.9016407615165434,1.1600000000000001
66.865,1.0468368540569095,1.0456427680284073,0.9016295296264009,1.1600000000000001
66.87,1.046827477710175,1.0456319282983262,0.9016182984432458,1.1600000000000001
66.875,1.0468181008177913,1.0456210885746975,0.9016070679657329,1.1600000000000001
66.88,1.0468087233804666,1.0456102488570609,0.9015958381920114,1.1600000000000001
